parentID;ID;code;name;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
276;281;kaminakapi_otsakilp WP 3;WP of ;False;372;16;2;0,372;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
276;283;kaminakapi_otsakilp WP 4;WP of ;False;390;16;2;0,39;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
270;285;kaminakapi_parem_kylg;;False;372;270;16;1;;;Part;;;
285;286;kaminakapi_parem_kylg WP 1;WP of ;False;372;270;16;0,1;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
285;288;kaminakapi_parem_kylg WP 2;WP of ;False;372;16;2;0,372;m;Front;Cover Workpiece;Edge Band;ABS;EG_U999
285;290;kaminakapi_parem_kylg WP 3;WP of ;False;270;16;2;0,27;m;Left;Cover Workpiece;Edge Band;ABS;EG_U999
270;292;kaminakapi_tagasein;;False;1032;254;16;1;;;Part;;;
292;293;kaminakapi_tagasein WP 1;WP of ;False;1032;254;16;0,262;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
270;295;kaminakapi_vahekilp;;False;391;390;16;1;;;Part;;;
295;296;kaminakapi_vahekilp WP 1;WP of ;False;391;390;16;0,152;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
295;298;kaminakapi_vahekilp WP 2;WP of ;False;25;16;2;0,025;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
295;300;kaminakapi_vahekilp WP 3;WP of ;False;390;16;2;0,39;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
269;337;Veeauru_kamina_vahekapp;;;;;;2;;;Assembly;;;
337;302;kaminakapi_vasak_uks;;;;;;1;;;Assembly;;;
302;303;kaminakapi_vasak_uks;;True;529;388;16;1;;;Part;;;
303;304;kaminakapi_vasak_uks WP 1;WP of ;True;388;529;16;0,205;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
303;306;kaminakapi_vasak_uks WP 2;WP of ;False;388;16;2;0,388;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
303;308;kaminakapi_vasak_uks WP 3;WP of ;False;529;16;2;0,529;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
303;310;kaminakapi_vasak_uks WP 4;WP of ;False;388;16;2;0,388;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
303;312;kaminakapi_vasak_uks WP 5;WP of ;False;529;16;2;0,529;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
302;314;kaminakapi_ukse_ribi;;True;407;40;19;9;;;Part;;;
314;315;kaminakapi_ukse_ribi WP 1;WP of ;True;417;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
314;317;kaminakapi_ukse_ribi WP 2;WP of ;False;44;27;2;0,044;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;319;kaminakapi_ukse_ribi WP 3;WP of ;False;407;19;2;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;321;kaminakapi_ukse_ribi WP 4;WP of ;False;40;19;2;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;323;kaminakapi_ukse_ribi WP 5;WP of ;False;407;19;2;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
337;325;kaminakapi_parem_uks;;;;;;1;;;Assembly;;;
325;326;kaminakapi_parem_uks;;True;529;388;16;1;;;Part;;;
326;327;kaminakapi_parem_uks WP 1;WP of ;True;388;529;16;0,205;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
326;329;kaminakapi_parem_uks WP 2;WP of ;False;388;16;2;0,388;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
326;331;kaminakapi_parem_uks WP 3;WP of ;False;529;16;2;0,529;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
326;333;kaminakapi_parem_uks WP 4;WP of ;False;388;16;2;0,388;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
326;335;kaminakapi_parem_uks WP 5;WP of ;False;529;16;2;0,529;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
325;314;kaminakapi_ukse_ribi;;True;407;40;19;9;;;Part;;;
314;315;kaminakapi_ukse_ribi WP 1;WP of ;True;417;40;19;0,017;m²;;Fill Workpiece;Laminated Board;SPP_PLP;TAMM_TAN_MUST
314;317;kaminakapi_ukse_ribi WP 2;WP of ;False;44;27;2;0,044;m;Inward;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;319;kaminakapi_ukse_ribi WP 3;WP of ;False;407;19;2;0,407;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;321;kaminakapi_ukse_ribi WP 4;WP of ;False;40;19;2;0,04;m;Right;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
314;323;kaminakapi_ukse_ribi WP 5;WP of ;False;407;19;2;0,407;m;Back;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
337;292;kaminakapi_tagasein;;False;1032;254;16;1;;;Part;;;
292;293;kaminakapi_tagasein WP 1;WP of ;False;1032;254;16;0,262;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
337;295;kaminakapi_vahekilp;;False;391;390;16;1;;;Part;;;
295;296;kaminakapi_vahekilp WP 1;WP of ;False;391;390;16;0,152;m²;;Fill Workpiece;Laminated Board;MEL;EG_U999
295;298;kaminakapi_vahekilp WP 2;WP of ;False;25;16;2;0,025;m;Front;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
295;300;kaminakapi_vahekilp WP 3;WP of ;False;390;16;2;0,39;m;Left;Cover Workpiece;Edge Band;spoonikant;TAMM_TAN_MUST
337;271;kaminakapi_p6hi;;False;1032;372;16;1;;;Part;;;
