parentID;ID;code;name;comments;hasGrain;length;width;thickness;quantity;units;coverSide;type;materialType;materialCode;colorCode
96;97;A2_parem_kylg;;;False;909;642;18;1;;;Part;;;
97;98;A2_parem_kylg WP 1;WP of ;;False;909;642;18;0,584;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
97;100;A2_parem_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
97;102;A2_parem_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
96;104;A2_vasak_kylg;;;False;909;642;18;1;;;Part;;;
104;105;A2_vasak_kylg WP 1;WP of ;;False;909;642;18;0,584;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
104;107;A2_vasak_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
104;109;A2_vasak_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
96;111;A2_p6hi;;;False;709;641;18;1;;;Part;;;
111;112;A2_p6hi WP 1;WP of ;;False;709;641;18;0,454;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
111;114;A2_p6hi WP 2;WP of ;;False;709;18;1;0,709;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
96;116;A2_sideliist;;;False;709;112;18;1;;;Part;;;
116;117;A2_sideliist WP 1;WP of ;;False;709;112;18;0,079;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
116;119;A2_sideliist WP 2;WP of ;;False;709;18;1;0,709;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
96;121;A2_välis_sokkel;;;False;745;68;18;1;;;Part;;;
121;122;A2_välis_sokkel WP 1;WP of ;;False;745;68;18;0,051;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
121;124;A2_välis_sokkel WP 2;WP of ;;False;745;18;1;0,745;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
121;126;A2_välis_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
121;128;A2_välis_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
96;130;A2_esipaneel;;;True;862;745;15;1;;;Part;;;
130;131;A2_esipaneel WP 1;WP of ;;True;862;745;15;0,642;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
130;133;A2_esipaneel WP 2;WP of ;;False;;;0;0;m²;Top;Cover Workpiece;Paint;värv;RAL_9011
96;135;A2_t66pind;;;True;745;680;21;1;;;Part;;;
135;136;A2_t66pind WP 1;WP of ;;True;745;680;21;0,507;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
135;138;A2_t66pind WP 2;WP of ;;False;;;0;0;m²;Front, Bottom, Inward;Cover Workpiece;Paint;värv;RAL_9011
96;148;A2_parem_uks;;;False;837;368;18;1;;;Part;;;
148;149;A2_parem_uks WP 1;WP of ;;False;837;368;18;0,308;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
148;151;A2_parem_uks WP 2;WP of ;;False;837;18;1;0,837;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
148;153;A2_parem_uks WP 3;WP of ;;False;368;18;1;0,368;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
148;155;A2_parem_uks WP 4;WP of ;;False;837;18;1;0,837;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
148;157;A2_parem_uks WP 5;WP of ;;False;368;18;1;0,368;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
96;159;A2_vasak_uks;;;False;837;368;18;1;;;Part;;;
159;160;A2_vasak_uks WP 1;WP of ;;False;837;368;18;0,308;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
159;162;A2_vasak_uks WP 2;WP of ;;False;837;18;1;0,837;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
159;164;A2_vasak_uks WP 3;WP of ;;False;368;18;1;0,368;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
159;166;A2_vasak_uks WP 4;WP of ;;False;837;18;1;0,837;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
159;168;A2_vasak_uks WP 5;WP of ;;False;368;18;1;0,368;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
96;170;A2_sise_sokkel;;;False;745;68;18;1;;;Part;;;
170;171;A2_sise_sokkel WP 1;WP of ;;False;745;68;18;0,051;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
170;173;A2_sise_sokkel WP 2;WP of ;;False;745;18;1;0,745;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
170;175;A2_sise_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
170;177;A2_sise_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
96;607;puit_tyybel_8x35;;;;;;;12;;;Purchased;;;
96;13;Kruvitõmmits 5x50;;;;;;;22;;;Purchased;;;
96;13;Kruvitõmmits 5x50;;;;;;;6;;;Purchased;;;
96;16;Sokli korrigeerija MF 300-00-Z2-00-Z2;;;;;;;4;;;Purchased;;;
96;111;Hing Clip Top 110° vaikselt sulguv täispeale expando: Blum 71B358E ;H;;;;;;4;;;Purchased;;;
96;112;Tald Clip Top 0 mm expando: Blum 174E610;T;;;;;;4;;;Purchased;;;
96;195;A2_sokliplekk;;;;;;;1;;;Purchased;;;
1;179;moodul_A1;;;;;;;1;;;Assembly;;;
179;180;A1_vasak_kylg;;;False;909;663;18;1;;;Part;;;
180;181;A1_vasak_kylg WP 1;WP of ;;False;909;663;18;0,603;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
180;183;A1_vasak_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
180;185;A1_vasak_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
179;187;A1_parem_kylg;;;False;909;663;18;1;;;Part;;;
187;188;A1_parem_kylg WP 1;WP of ;;False;909;663;18;0,603;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
187;190;A1_parem_kylg WP 2;WP of ;;False;841;18;1;0,841;m;Back;Cover Workpiece;Edge Band;ABS;EG_F187
187;192;A1_parem_kylg WP 3;WP of ;;False;530;18;1;0,53;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
179;194;A1_põhi;;;False;1173;662;18;1;;;Part;;;
194;195;A1_põhi WP 1;WP of ;;False;1173;662;18;0,777;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
194;197;A1_põhi WP 2;WP of ;;False;1173;18;1;1,173;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
179;199;A1_sise_sokkel;;;False;1209;68;18;1;;;Part;;;
199;200;A1_sise_sokkel WP 1;WP of ;;False;1209;68;18;0,082;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
199;202;A1_sise_sokkel WP 2;WP of ;;False;1209;18;1;1,209;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
199;204;A1_sise_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
199;206;A1_sise_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
179;208;A1_v2lis_sokkel;;;False;1209;68;18;1;;;Part;;;
208;209;A1_v2lis_sokkel WP 1;WP of ;;False;1209;68;18;0,082;m²;;Fill Workpiece;Laminated Board;MEL_NK;EG_F187
208;211;A1_v2lis_sokkel WP 2;WP of ;;False;1209;18;1;1,209;m;Front;Cover Workpiece;Edge Band;ABS;EG_F187
208;213;A1_v2lis_sokkel WP 3;WP of ;;False;68;18;1;0,068;m;Right;Cover Workpiece;Edge Band;ABS;EG_F187
208;215;A1_v2lis_sokkel WP 4;WP of ;;False;68;18;1;0,068;m;Left;Cover Workpiece;Edge Band;ABS;EG_F187
179;217;A1_esipaneel;;;True;1210;862;15;1;;;Part;;;
217;218;A1_esipaneel WP 1;WP of ;;True;1210;862;15;1,043;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
217;220;A1_esipaneel WP 2;WP of ;;False;;;0;0;m²;Left, Top;Cover Workpiece;Paint;värv;RAL_9011
179;224;A1_t66pinna_parem_serv;;;True;680;55;21;1;;;Part;;;
224;225;A1_t66pinna_parem_serv WP 1;WP of ;;True;680;55;21;0,037;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
224;227;A1_t66pinna_parem_serv WP 2;WP of ;;False;;;0;0;m²;Left, Back, Front, Bottom;Cover Workpiece;Paint;värv;RAL_9011
179;237;A1_t66pinna_vasak_serv;;;True;680;55;21;1;;;Part;;;
237;238;A1_t66pinna_vasak_serv WP 1;WP of ;;True;680;55;21;0,037;m²;;Fill Workpiece;Board;VIN_KASK_CP/CP;
